dataset,n,R,metodo,tiempo
mejor-caso-BT,475,1000,BT,0.098606
mejor-caso-BT,476,1000,BT,0.09455
mejor-caso-BT,477,1000,BT,0.106125
mejor-caso-BT,478,1000,BT,0.106172
mejor-caso-BT,479,1000,BT,0.105961
mejor-caso-BT,480,1000,BT,0.100635
mejor-caso-BT,481,1000,BT,0.095786
mejor-caso-BT,482,1000,BT,0.102209
mejor-caso-BT,483,1000,BT,0.105496
mejor-caso-BT,484,1000,BT,0.106298
mejor-caso-BT,485,1000,BT,0.10433
mejor-caso-BT,486,1000,BT,0.106879
mejor-caso-BT,487,1000,BT,0.109167
mejor-caso-BT,488,1000,BT,0.108019
mejor-caso-BT,489,1000,BT,0.10719
mejor-caso-BT,490,1000,BT,0.10565
mejor-caso-BT,491,1000,BT,0.102219
mejor-caso-BT,492,1000,BT,0.109266
mejor-caso-BT,493,1000,BT,0.103119
mejor-caso-BT,494,1000,BT,0.104831
mejor-caso-BT,495,1000,BT,0.1132
mejor-caso-BT,496,1000,BT,0.108355
mejor-caso-BT,497,1000,BT,0.099271
mejor-caso-BT,498,1000,BT,0.104588
mejor-caso-BT,499,1000,BT,0.108039
mejor-caso-BT,500,1000,BT,0.111621
mejor-caso-BT,501,1000,BT,0.104407
mejor-caso-BT,502,1000,BT,0.105227
mejor-caso-BT,503,1000,BT,0.105933
mejor-caso-BT,504,1000,BT,0.099354
mejor-caso-BT,505,1000,BT,0.104144
mejor-caso-BT,506,1000,BT,0.104701
mejor-caso-BT,507,1000,BT,0.110134
mejor-caso-BT,508,1000,BT,0.108135
mejor-caso-BT,509,1000,BT,0.107251
mejor-caso-BT,510,1000,BT,0.109843
mejor-caso-BT,511,1000,BT,0.105937
mejor-caso-BT,512,1000,BT,0.117472
mejor-caso-BT,513,1000,BT,0.107287
mejor-caso-BT,514,1000,BT,0.103672
mejor-caso-BT,515,1000,BT,0.107925
mejor-caso-BT,516,1000,BT,0.111489
mejor-caso-BT,517,1000,BT,0.107521
mejor-caso-BT,518,1000,BT,0.111478
mejor-caso-BT,519,1000,BT,0.111477
mejor-caso-BT,520,1000,BT,0.121264
